zouave zuavog
ore minaĵog
ordnance artileriog
ordinary kutima
ordinance ordonog
orderly ordag
ordeal provo
ordain ordenig
orchestra orkestrog
orchard fruktarbejog
oratory elokventecog
orator oratoro
oration paroladog
orangery oranĝeriog
orange oranĝog
oral voĉa
oracle orakolog
or aŭg
opusculum libreto
opulent riĉag
opulence riĉecog
option elekto—aĵog
optimist optimistog
optimism optimismog
optician optikistog
optical optikag
optics optikog
opprobrium malnobleco
oppressor tirano
oppress subpremig
opposition kontraŭmeto—adog
oppose kontraŭmeti
opportunity okazog
opportune ĝustatempag
opponent kontraŭulog
opium opiog
operetta operetog
operative ageblag
operative metiistog
operation operaciog
operatic operag
operate funkciig
opera-house operejog
opera-glass lornetog
opera operog
openly nekaŝeme
open-hearted malkovranimag
open malfermig
opaque maldiafanag
opal opalog
ooze tragutetig
onyx oniksog
onward antaŭe
ontology ontologiog
onset atakog
only nurg
onion bulbog
oneness unuecog
one-eyed unuokulag
one unug
on surg
omniscient ĉiosciag
omnipresence ĉieestog
omnipotent ĉiopovag
omnibus omnibusog
omit formeti
omission formetadog
ominous gravegag
omen antaŭsignog
omelet ovaĵog
olive-shaped olivformag
olive olivog
oligarchy oligarkiog
oldness malnovecog
ointment ŝmiraĵog
oilcloth vakstolog
oil oleog
often ofteg
offspring ido
officious agamag
officiate agig
official oficialag
official oficistog
office oficejog
offering oferdono
offensive ofendag
offender ofendantog
offend ofendig
offence peketo
of deg
odorous odorag
odour odorog
odium malamog
odious malamindag
ode odog
oddly strangeg
oculist okulistog
ocularly okuleg
ocular okulag
october oktobrog
octave oktavog
ochre okrog
oceania oceaniog
ocean oceanog
occurrence okazog
occur okazig
occupy okupig
occupation okupog
occupant okupanto
occult kaŝatag
occasional okazag
occasion okazog
obvious videbla
obviate malhelpig
obtuse malakra
obtrusive trudemag
obtrusion trudo—ecog
obtrude trudig
obtain ricevi
obstruction baro
obstruct obstrukcig
obstinate obstinag
obstinacy obstinecog
obstacle baro
obsolete troantikvag
observatory observatoriog
observation observo—adog
observant observemag
obsequies enterigirog
obscurity senlumeco
obscure malhelag
obscure mallumigig
obscene malbonmora
obnoxious ofendegag
oblong longformag
oblivious forgesag
oblivion forgesog
obliterate surstrekig
obliquity oblikvecog
oblique oblikvag
obliging servemag
obligatory devigag
obligation devog
oblation oferog
objectionable riproĉeblindag
objection kontraŭparolog
object objektog
object kontraŭparolig
obituary nekrologiog
obey obeig
obesity vastkorpecog
obese grasegag
obelisk obeliskog
obeisance riverencog
obedient obeag
obedience obeog
obdurate obstinag
obduracy obstinecog
oatmeal griog
oasis oazog
oar remilog
oakum stupog
oak kverkog
oaf idiotulog
nymph nimfog
nutritious nutrag
nutriment nutraĵog
nutmeg muskatog
nut nuksog
nurture elnutrig
nursery infanĉambrog
nursemaid vartistino
nurseling suĉinfanog
nurse flegistinog
nurse nutristinog
nuptial edziĝag
nunnery monaĥinejog
nuncio nunciog
nun monaĥinog
numerously multegeg
numerous multag
numerical nombrag
numeral numerog
number numerog
numbness rigidecog
numb rigidigig
nullify nuligig
null nuligag
nudity nudecog
nude nudag
nozzle nazetog
noxious malutila
nowhere nenieg
nowadays nuntempeg
now nung
novitiate provtempog
noviceship novicecog
novice novulog
november novembrog
novelty novaĵog
nourishment nutraĵog
nourishing nutrag
nourish nutrig
noun substantivog
nought neniog
nought nulog
notwithstanding tameng
notorious malglorag
notoriety konatecog
notion ekkonog
notify sciigig
notification sciigog
notice avizog
notice rimarkig
nothing neniog
notebook notlibretog
note noti
notary notariog
notable fama
not neg
nostril naztruog
nosegay bukedog
nosebag manĝujog
nose nazog
northern nordag
northerly nordag
north nordog
normal normalag
nor nekg
noose ligotuberog
noon tagmezog
nook anguletog
non-success malprosperog
nonsense sensencaĵo
nonentity neestaĵog
none neniomg
nondescript nepriskribag
nonconformist nekonformistog
nonchalance apatiog
nominative nominativog
nominal nominalag
nomenclature nomarog
nom-de-plume pseŭdonomog
nomadic migrantag
nomad migrantog
noisome naŭza
noise bruog
no neg
nocuous pereigag
nocturnal noktag
nobody neniug
nobleness noblecog
nobleman nobelog
noble noblag
nobility nobelarog
nitre salpetrog
nippers preniletog
nip pinĉig
ninny simplanimulog
nine naŭg
nimbus glorkronog
nimble viglag
nightmare terursonĝog
nightingale najtingalog
nightly noktag
night noktog
nigh proksimag
niggard avarulog
niece nevinog
nicotine nikotinog
nickname moknomog
nickel nikelog
niche niĉog
nice agrablag
nibble mordetig
next sekvantag
new day
newspaper ĵurnalog
news sciigo
new novag
nevertheless tameng
never neniamg
neutrality neŭtralecog
neutral neŭtralag
neuter neŭtrag
neuralgia neŭralgiog
network retaĵog
nettle urtikog
netting retaĵog
net retog
nestling birdidog
nestle kuŝiĝetig
nest nestog
nervousness nervecog
nervous nervag
nerve nervog
nepotism nepotismog
nephew nevog
neologism neologismog
neo-latin novlatinag
neither nekg
neighbouring samlimag
neighbourhood ĉirkaŭaĵog
neighbour najbarog
neigh ĉevalblekig
negro nigrulog
negotiation negocadog
negotiate negocig
negligence malatentog
negligent malatentag
neglectful senzorgag
neglected nezorgitag
negative neag
negation neadog
needy malriĉag
needle kudrilog
needful bezona
need malriĉecog
need bezonig
nectar nektarog
necromancer nekromancisto
necrology nekrologiog
necktie kravatog
necklace ĉirkaŭkolog
neckcloth koltukog
neck kolog
necessity necesecog
necessary necesag
nebulous nebulag
neatness pureco
neat pura
nearness proksimecog
nearly preskaŭg
near proksimag
nay neg
navvy terfosistog
navy ŝiparog
navigation marveturadog
navigate marveturig
navigable ŝipireblag
naval ŝipag
nautical ŝipag
nauseous naŭzag
nauseate naŭzig
nausea naŭzog
naughty malbonag
naught nulog
nature naturog
naturalness naturalecog
naturally natureg
naturalist naturalistog
naturalism naturalismog
natural naturag
nativity naskiĝog
native-land patrujog
native enlandag
native landano
nationality naciecog
national naciag
nation naciog
natation naĝartog
nasty malagrablag
nasal nazag
narrowness mallarĝecog
narrowly mallarĝeg
narrow mallarĝag
narrative rakontog
narrate rakontig
narcotic narkotikog
narcissus narcisog
napkin buŝtukog
nape nukog
nankeen nankenog
namesake samnomulog
namely nomeg
name nomig
naked nudag
naive naivag
nail najlig
nadir nadirog
mythology mitologiog
myth mitog
mystification mistifikog
mystify mistifikig
mystery misterog
mysterious misterag
myrtle mirtog
myrrh mirhog
myriametre miriametrog
myriad miriadog
myosotis miozotog
myopy miopecog
myoptic miopa
my mia
muzzle buŝumig
mutually reciprokeg
mutual reciprokag
mutton ŝafaĵog
mutter murmurig
mutiny ribelog
mutinous ribelag
mutilate vundegig
mute mutulog
mute mutag
mutation ŝanĝadog
musty malfreŝag
muster kunvenigig
mustard mustardog
must mostog
mussel mitulog
muslin muslinog
musket pafilog
muskrat miogalog
musician muzikistog
musical muzikag
music muzikog
mushroom fungog
museum muzeog
muse revig
muse muzog
muscular muskolag
muscle muskolog
murmur murmurig
murky malhela
murderer mortigantog
murder mortigog
murder mortigig
munificent malavarag
munificence malavarecog
municipal urbag
mundane mondag
munch maĉig
mummy mumog
mumble murmurig
multiplier multigantog
multiplied multigitag
multiplication multigadog
multiplicand multigatog
multiple multoblog
mulish obstinag
muleteer mulistog
mule mulog
mulberry morusog
mug pokaleto
muffle envolvig
muff mufog
mudguard kotŝirmilog
mud ŝlimo
mucus mukog
much multag
mow falĉig
movement movadog
move movig
movable moveblag
mouth buŝog
moustache lipharojg
mouse-trap muskaptilog
mouse musog
mournful funebrag
mourn malĝoji
mountebank ĵonglistog
mountain-range montarog
mountainous montag
mountaineer montanog
mountain montog
mount montetog
mount suprenirig
mound remparo
mouldy ŝimag
mould modelilog
motto devizog
motor movilo
motive movigag
motive kaŭzog
motionless senmovag
motion movog
mother patrinog
moth tineog
mostly plejeg
most plejg
moss muskog
mosquito kulog
mosaic mozaikog
mortify humiligig
mortify gangrenig
mortification gangrenog
mortification humiligog
mortgage hipotekog
morsel pecetog
morrow morgaŭtagog
moroseness malgajecog
morose malgajag
morning matenog
moribund mortantog
morgue mortulejog
moreover plieg
more plug
mordant mordag
morbid malsanag
morass marĉejo—aĵog
morals etiko
morality moralecog
moral moralag
mope malĝojiĝig
moot disputeblag
moor stepog
moonlight lunbrilog
moon lunog
moody silentemag
mood modog
monument monumentog
month monatog
monstrous monstrag
monster monstrog
monosyllable unusilabog
monopoly monopolog
monopolise monopoligig
monomania monomaniog
monologue monologog
monogram monogramog
monograph monografog
monkey simiog
monk monaĥog
monitor avertulo
mongrel hibridag
money-order poŝtmandatog
money monog
monetary monag
monday lundog
monastery monaĥejog
monarchy monarĥejog
monarch monarĥog
momentous gravegag
mollusk moluskog
mollify moderigig
molest turmenti
molasses mielsiropog
moisture malseketaĵog
moisten malseketigig
moist malseketag
moiety duonog
modulation moduladog
modulate modulig
modify ŝanĝig
modesty modestecog
modest modestag
modern modernag
moderation moderecog
moderate moderigig
moderate moderag
model modelig
model modelog
mode modog
mockery moko—ecog
mock mokig
mobilise mobilizig
mobile moveblag
mob amasog
moat fosaĵog
moan ĝemig
mixture miksaĵog
mix miksig
mitigate moderigig
mitre mitrog
mite akarog
misuse maluzi
misunderstand malkomprenig
misty nebuletag
mistrust suspektig
mistrust malfidog
mistletoe viskog
mistake erarog
mist nebuletog
missionary misiistog
mission misiog
missing mankag
missile ĵetarmilog
miss fraŭlinog
miss mankig
misrepresent falsreprezentig
misprint preserarog
misplaced neĝustlokag
mislead erarigig
mislay erarigi
misinform malsciigig
mishap malfeliĉog
misgiving dubog
misinterpretation kontraŭsencog
misfortune malfeliĉog
misery mizerog
miserly avarag
miserable malgajag
miser avarulog
misdemeanour krimetog
misdeed malbonfarog
miscreant malbonulog
misconduct malbonkondutig
misconception malkompreno—ecog
mischievous malbonemag
mischief malboneco
mischance malfeliĉog
miscellaneous miksita
miscarry malsukcesig
miscalculation kalkulerarog
misbehave malbonkondutig
misanthrope homevitulog
misapprehension malkomprenog
misapprehend malkomprenig
misapply eraralmetig
miry ŝlimhavag
mirth gajeco
mirror spegulog
mire ŝlimo
miraculous miraklag
miracle miraklog
minutiæ detaletog
minute malgrandegag
minute menuetog
mint mentog
minstrel bardo
minority malplimultog
ministry ministrarog
minimum minimumog
miniature miniaturog
mingle miksig
mineralogy mineralogiog
mineral mineralog
miner ministog
mine subfosig
mine mia
mindful zorgag
mind spiritog
mince haketig
mimic imitig
milt laktumog
million milionog
millinery galanteriog
milliner ĉapelistinog
millimeter milimetrog
milligram miligramog
millet miliog
millenium miljarog
miller muelistog
mill-house muelejog
mill muelilog
milk laktog
milk melkig
militia militantarog
military militag
militant militag
mile mejlog
mildness dolĉecog
mildew ŝimog
mild dolĉag
milch laktodonag
migrate migrig
mignonette resedog
mighty potencag
might potencog
mien mienog
midwife akuŝistinog
midsummer duonjaro
midnight noktomezog
middle mezag
middle centrog
midday tagmezog
microscope mikroskopog
microbe mikrobog
mica glimog
miasma miasmog
mew katblekig
mettle fervoro
metropolis ĉefurbog
metric metrag
metre metrog
method metodog
meter mezurilog
meteorology meteorologiog
meteor meteorog
mete dividi
metaphor metaforog
metallurgy metalurgiog
metallic metalag
metal metalog
messmate kunmanĝantog
messiah savonto
messenger senditog
message depeŝog
mess kunmanĝig
mesh maŝog
merry gajag
merriment gajecog
mermaid sirenog
merit meritig
merit meritog
meridian meridianog
merely nureg
mere nurag
mercy kompato—ecog
mercury hidrargog
merciful kompata—emag
merchant negocistog
merchandise komercaĵog
mercenary subaĉeteblag
mercenary dungatog
mercantile komercag
menu manĝokartog
mention citi
mental spiritag
menses monataĵog
menial servulog
mendicant almozulog
